trip_id,rider_id,zone,distance_km,duration_min,fare_amount,payment_mode,ride_date,surge_flag,name,age,gender,city,signup_date,total_rides,cancelled_rides,avg_rating,population_density,traffic_index,avg_speed_kmph,zone_type
T00449,R0151,Zone_7,4.34,40.27,49.93,UPI,2024-01-06,1,Meera Reddy,34,Male,Hyderabad,2023-02-25,394,56,5.0,11070,0.64,45.2,Industrial
T00450,R0296,Zone_3,14.28,140.86,313.9,Cash,2024-03-26,0,Reyansh Patel,37,Other,Hyderabad,2021-02-20,390,58,3.97,12971,2.11,38.0,Business
T00451,R0064,Zone_2,13.66,132.11,299.48,Cash,2024-06-13,0,Ishaan Nair,21,Female,Bengaluru,2023-09-30,214,2,4.21,6371,0.91,58.4,Residential
T00452,R0087,Zone_3,5.23,26.79,48.52,Credit Card,2023-08-28,1,Saanvi Das,26,Female,Jaipur,2021-05-11,362,33,3.57,12971,2.11,38.0,Business
T00453,R0230,Zone_4,15.62,115.51,156.82,Credit Card,2023-01-08,1,Kavya Gupta,32,Male,Chennai,2022-11-22,183,23,3.65,4038,2.46,48.2,Business
T00454,R0168,Zone_9,4.58,44.62,41.31,Credit Card,2023-06-18,1,Diya Das,23,Male,Pune,2019-10-08,471,74,4.03,11037,1.83,56.1,Mixed
T00455,R0262,Zone_8,1.21,8.06,26.79,Credit Card,2023-11-04,0,Meera Singh,30,Male,Ahmedabad,2019-04-21,6,0,3.35,4516,1.93,31.0,Business
T00456,R0134,Zone_5,13.51,129.59,215.2,Wallet,2024-04-11,0,Aadhya Singh,34,Male,Jaipur,2022-07-30,410,29,4.59,2590,1.31,43.9,Business
T00457,R0035,Zone_4,7.4,67.21,125.26,UPI,2024-06-06,0,Reyansh Das,39,Male,Kolkata,2022-03-20,392,41,3.49,4038,2.46,48.2,Business
T00458,R0049,Zone_8,12.88,109.54,291.71,UPI,2024-08-12,1,Meera Iyer,39,Male,Mumbai,2020-05-19,375,55,4.4,4516,1.93,31.0,Business
T00459,R0044,Zone_4,4.23,33.09,33.99,Credit Card,2024-06-11,0,Arjun Gupta,36,Female,Hyderabad,2020-08-01,271,5,3.21,4038,2.46,48.2,Business
T00460,R0033,Zone_1,1.69,14.68,38.42,UPI,2023-12-28,0,Diya Iyer,18,Female,Chennai,2019-05-22,472,37,3.24,4921,2.43,30.9,Residential
T00461,R0045,Zone_1,14.16,107.93,251.3,Wallet,2023-10-14,1,Saanvi Iyer,34,Other,Ahmedabad,2023-07-12,100,16,4.88,4921,2.43,30.9,Residential
T00462,R0170,Zone_9,0.96,8.71,12.92,Credit Card,2023-10-24,1,Saanvi Kumar,29,Other,Bengaluru,2020-05-20,28,3,3.68,11037,1.83,56.1,Mixed
T00463,R0039,Zone_8,0.19,0.98,3.37,Credit Card,2024-02-12,0,Aadhya Iyer,24,Male,Chennai,2023-11-18,190,14,4.2,4516,1.93,31.0,Business
T00464,R0242,Zone_6,1.63,12.85,13.09,Wallet,2024-03-12,1,Kavya Iyer,34,Male,Ahmedabad,2022-06-05,445,8,4.54,14627,0.54,37.6,Mixed
T00465,R0294,Zone_5,5.97,39.2,130.88,Cash,2023-10-12,0,Arjun Reddy,24,Male,Surat,2021-04-02,41,7,3.2,2590,1.31,43.9,Business
T00466,R0245,Zone_8,2.8,24.45,37.18,UPI,2024-05-11,0,Diya Sharma,35,Female,Hyderabad,2020-03-04,265,48,4.73,4516,1.93,31.0,Business
T00467,R0251,Zone_8,2.85,18.25,47.1,UPI,2023-09-06,1,Vivaan Iyer,46,Female,Mumbai,2020-01-13,213,26,4.48,4516,1.93,31.0,Business
T00468,R0112,Zone_5,7.82,40.71,120.44,Credit Card,2023-11-30,0,Meera Nair,41,Female,Delhi,2020-11-13,311,11,3.24,2590,1.31,43.9,Business
T00469,R0261,Zone_1,3.18,23.36,70.05,Cash,2023-10-18,1,Aarav Kumar,31,Male,Pune,2022-08-26,477,83,4.24,4921,2.43,30.9,Residential
T00470,R0181,Zone_5,2.5300000000000002,19.07,56.62,Wallet,2024-06-26,0,Arjun Patel,32,Male,Hyderabad,2019-01-09,349,32,3.75,2590,1.31,43.9,Business
T00471,R0273,Zone_5,19.66,158.79,212.08,Credit Card,2024-08-15,0,Aadhya Nair,43,Male,Delhi,2022-09-17,289,48,3.76,2590,1.31,43.9,Business
T00472,R0120,Zone_5,9.73,83.96,146.57,Credit Card,2023-03-30,0,Ishaan Gupta,18,Other,Surat,2020-07-12,311,15,4.55,2590,1.31,43.9,Business
T00473,R0172,Zone_6,8.26,50.02,199.22,UPI,2024-02-18,0,Reyansh Reddy,31,Other,Pune,2019-12-24,168,14,3.72,14627,0.54,37.6,Mixed
T00474,R0217,Zone_4,0.1,0.67,2.29,Wallet,2023-08-17,1,Kavya Iyer,39,Other,Jaipur,2023-03-03,104,5,3.52,4038,2.46,48.2,Business
T00475,R0010,Zone_4,6.77,51.15,72.84,UPI,2023-01-12,1,Vivaan Gupta,25,Female,Surat,2023-05-14,173,1,3.38,4038,2.46,48.2,Business
T00476,R0070,Zone_10,8.24,56.92,150.77,Credit Card,2023-06-09,0,Meera Reddy,33,Male,Bengaluru,2023-01-03,310,6,3.54,2440,1.54,35.4,Industrial
T00477,R0143,Zone_4,0.03,0.22,0.6000000000000001,Credit Card,2024-07-26,1,Meera Kumar,42,Other,Kolkata,2023-03-28,74,13,4.56,4038,2.46,48.2,Business
T00478,R0237,Zone_8,8.63,63.21,201.88,UPI,2023-08-21,1,Aadhya Nair,40,Male,Chennai,2022-12-13,36,3,3.71,4516,1.93,31.0,Business
T00479,R0062,Zone_10,13.96,88.15,160.7,UPI,2024-03-02,1,Kavya Sharma,38,Male,Jaipur,2019-05-13,57,3,3.58,2440,1.54,35.4,Industrial
T00480,R0022,Zone_9,6.26,40.23,59.35,UPI,2023-05-26,0,Aarav Nair,43,Female,Kolkata,2020-09-14,220,1,3.32,11037,1.83,56.1,Mixed
T00481,R0259,Zone_6,7.01,54.23,151.29,Credit Card,2023-11-19,0,Aadhya Das,32,Male,Jaipur,2019-06-25,150,27,3.52,14627,0.54,37.6,Mixed
T00482,R0004,Zone_10,2.21,18.13,49.89,Credit Card,2023-01-12,0,Aarav Nair,19,Other,Kolkata,2019-07-28,464,5,3.19,2440,1.54,35.4,Industrial
T00483,R0257,Zone_6,1.0,9.25,20.02,Wallet,2023-04-14,1,Arjun Reddy,36,Other,Delhi,2023-03-11,459,19,4.82,14627,0.54,37.6,Mixed
T00484,R0002,Zone_5,13.29,118.88,145.19,Cash,2023-11-02,0,Ishaan Nair,39,Female,Mumbai,2019-11-23,70,5,4.12,2590,1.31,43.9,Business
T00485,R0196,Zone_4,4.69,45.53,99.57,UPI,2023-06-15,0,Vivaan Das,18,Male,Hyderabad,2019-06-24,51,9,4.93,4038,2.46,48.2,Business
T00486,R0076,Zone_4,3.35,29.26,53.06,UPI,2024-05-06,1,Reyansh Reddy,40,Male,Bengaluru,2022-01-02,137,13,3.34,4038,2.46,48.2,Business
T00487,R0242,Zone_7,4.54,23.31,73.76,Cash,2023-09-19,1,Kavya Iyer,34,Male,Ahmedabad,2022-06-05,445,8,4.54,11070,0.64,45.2,Industrial
T00488,R0086,Zone_5,7.71,51.69,103.17,Wallet,2024-05-18,1,Vivaan Patel,23,Male,Hyderabad,2019-11-08,337,17,4.56,2590,1.31,43.9,Business
T00489,R0037,Zone_8,2.21,13.05,40.52,UPI,2024-03-25,1,Aadhya Iyer,32,Other,Ahmedabad,2020-11-21,489,6,3.36,4516,1.93,31.0,Business
T00490,R0067,Zone_2,8.63,78.42,161.07,Cash,2024-04-29,1,Saanvi Iyer,32,Male,Pune,2022-07-24,348,9,3.38,6371,0.91,58.4,Residential
T00491,R0163,Zone_3,1.2,6.8100000000000005,16.77,UPI,2024-07-06,0,Kavya Gupta,33,Other,Ahmedabad,2020-02-20,302,21,3.56,12971,2.11,38.0,Business
T00492,R0045,Zone_1,11.87,66.9,296.53,UPI,2024-07-17,1,Saanvi Iyer,34,Other,Ahmedabad,2023-07-12,100,16,4.88,4921,2.43,30.9,Residential
T00493,R0038,Zone_4,2.71,22.93,49.0,Credit Card,2023-03-30,0,Aarav Singh,37,Other,Kolkata,2023-02-11,68,7,4.07,4038,2.46,48.2,Business
T00494,R0296,Zone_3,14.6,144.15,132.06,Cash,2023-07-11,0,Reyansh Patel,37,Other,Hyderabad,2021-02-20,390,58,3.97,12971,2.11,38.0,Business
T00495,R0167,Zone_7,7.95,68.38,178.37,Credit Card,2024-02-10,1,Kavya Nair,44,Male,Hyderabad,2022-08-25,117,5,4.75,11070,0.64,45.2,Industrial
T00496,R0295,Zone_10,3.77,21.04,33.34,Wallet,2024-05-09,1,Kavya Gupta,18,Female,Delhi,2019-05-29,98,18,3.59,2440,1.54,35.4,Industrial
T00497,R0043,Zone_2,12.56,91.02,170.33,Credit Card,2023-12-11,0,Diya Kumar,28,Male,Ahmedabad,2021-12-10,85,16,4.68,6371,0.91,58.4,Residential
T00498,R0113,Zone_8,1.13,5.93,27.77,Credit Card,2024-01-17,1,Aadhya Singh,26,Other,Chennai,2019-03-09,423,26,4.61,4516,1.93,31.0,Business
T00499,R0100,Zone_5,5.26,43.63,102.93,Cash,2023-04-02,1,Ishaan Gupta,28,Male,Delhi,2021-05-24,383,60,3.79,2590,1.31,43.9,Business
T00500,R0033,Zone_9,8.0,50.09,151.72,Cash,2024-01-22,0,Diya Iyer,18,Female,Chennai,2019-05-22,472,37,3.24,11037,1.83,56.1,Mixed
T00501,R0048,Zone_10,7.39,40.87,166.35,Wallet,2024-05-28,1,Kavya Sharma,35,Male,Hyderabad,2019-05-31,207,1,3.02,2440,1.54,35.4,Industrial
T00502,R0256,Zone_9,2.04,11.32,41.24,Credit Card,2024-06-26,0,Aadhya Sharma,31,Female,Delhi,2021-03-25,265,8,3.65,11037,1.83,56.1,Mixed
T00503,R0195,Zone_5,3.4,17.39,52.47,UPI,2024-07-22,0,Aadhya Reddy,33,Male,Kolkata,2021-05-27,72,10,4.97,2590,1.31,43.9,Business
T00504,R0092,Zone_10,8.84,67.65,83.37,Wallet,2023-02-27,0,Aarav Nair,21,Male,Surat,2019-07-18,252,23,4.51,2440,1.54,35.4,Industrial
T00505,R0126,Zone_5,1.4,13.21,12.73,UPI,2024-04-19,1,Diya Reddy,29,Female,Surat,2022-09-25,411,20,3.65,2590,1.31,43.9,Business
T00506,R0058,Zone_9,14.33,74.67,196.98,Wallet,2023-07-07,1,Vivaan Reddy,46,Male,Kolkata,2021-05-31,480,25,4.32,11037,1.83,56.1,Mixed
T00507,R0146,Zone_3,10.48,81.92,95.74,Credit Card,2024-02-21,1,Kavya Gupta,30,Male,Surat,2020-04-15,80,11,3.89,12971,2.11,38.0,Business
T00508,R0027,Zone_4,5.43,36.8,93.29,UPI,2024-02-22,1,Ishaan Iyer,39,Male,Jaipur,2019-10-05,403,61,3.98,4038,2.46,48.2,Business
T00509,R0040,Zone_3,6.9,44.89,136.69,Credit Card,2024-01-21,0,Aarav Gupta,34,Other,Surat,2023-05-05,485,36,4.41,12971,2.11,38.0,Business
T00510,R0044,Zone_6,17.31,121.35,305.08,UPI,2024-04-04,1,Arjun Gupta,36,Female,Hyderabad,2020-08-01,271,5,3.21,14627,0.54,37.6,Mixed
T00511,R0255,Zone_1,12.68,79.77,161.39,Wallet,2023-01-04,0,Reyansh Sharma,37,Female,Bengaluru,2021-07-06,475,42,3.12,4921,2.43,30.9,Residential
T00512,R0119,Zone_2,9.9,57.09,121.66,Credit Card,2024-05-21,0,Saanvi Iyer,47,Male,Hyderabad,2023-05-05,30,1,4.39,6371,0.91,58.4,Residential
T00513,R0203,Zone_7,0.92,6.6,18.93,Credit Card,2024-02-08,0,Kavya Gupta,49,Female,Bengaluru,2023-07-25,152,9,3.6,11070,0.64,45.2,Industrial
T00514,R0257,Zone_3,16.15,85.54,168.43,Cash,2023-05-20,0,Arjun Reddy,36,Other,Delhi,2023-03-11,459,19,4.82,12971,2.11,38.0,Business
T00515,R0200,Zone_3,13.26,86.99,131.03,Cash,2023-11-11,1,Kavya Kumar,30,Other,Bengaluru,2021-11-15,443,87,3.6,12971,2.11,38.0,Business
T00516,R0103,Zone_1,7.26,67.64,94.7,Credit Card,2023-09-18,1,Ishaan Gupta,37,Other,Surat,2022-11-24,175,14,3.07,4921,2.43,30.9,Residential
T00517,R0055,Zone_3,5.25,28.74,49.29,Wallet,2023-07-08,1,Kavya Singh,32,Male,Delhi,2021-11-07,425,12,4.19,12971,2.11,38.0,Business
T00518,R0291,Zone_5,7.06,49.66,112.18,Wallet,2023-02-23,1,Arjun Ghosh,23,Other,Pune,2021-04-19,499,94,3.46,2590,1.31,43.9,Business
T00519,R0180,Zone_7,1.99,19.56,17.39,Credit Card,2023-08-08,0,Diya Kumar,33,Male,Hyderabad,2019-12-03,44,4,4.53,11070,0.64,45.2,Industrial
T00520,R0221,Zone_10,5.65,30.29,109.51,UPI,2024-04-23,0,Diya Patel,21,Female,Delhi,2021-01-13,106,1,4.41,2440,1.54,35.4,Industrial
T00521,R0240,Zone_10,11.82,111.26,263.6,UPI,2024-02-13,1,Aarav Iyer,30,Male,Delhi,2020-05-18,174,2,4.07,2440,1.54,35.4,Industrial
T00522,R0131,Zone_2,1.04,5.23,12.62,Cash,2024-07-25,0,Reyansh Ghosh,24,Male,Surat,2019-10-22,99,7,3.6,6371,0.91,58.4,Residential
T00523,R0044,Zone_4,6.43,50.8,80.02,UPI,2024-01-20,0,Arjun Gupta,36,Female,Hyderabad,2020-08-01,271,5,3.21,4038,2.46,48.2,Business
T00524,R0100,Zone_4,8.57,83.49,71.4,Wallet,2024-01-08,1,Ishaan Gupta,28,Male,Delhi,2021-05-24,383,60,3.79,4038,2.46,48.2,Business
T00525,R0207,Zone_3,8.52,62.34,174.3,Wallet,2023-11-13,0,Ishaan Iyer,31,Male,Mumbai,2023-12-06,47,3,3.93,12971,2.11,38.0,Business
T00526,R0207,Zone_3,2.11,18.12,29.03,Wallet,2023-11-20,1,Ishaan Iyer,31,Male,Mumbai,2023-12-06,47,3,3.93,12971,2.11,38.0,Business
T00527,R0292,Zone_1,2.09,13.43,47.71,Credit Card,2024-02-19,1,Diya Patel,37,Female,Jaipur,2020-06-28,141,19,4.39,4921,2.43,30.9,Residential
T00528,R0257,Zone_3,13.45,121.78,305.45,Cash,2023-05-08,1,Arjun Reddy,36,Other,Delhi,2023-03-11,459,19,4.82,12971,2.11,38.0,Business
T00529,R0015,Zone_7,1.88,10.26,33.99,Wallet,2024-01-28,0,Saanvi Patel,28,Other,Chennai,2022-12-19,46,1,3.87,11070,0.64,45.2,Industrial
T00530,R0112,Zone_1,13.04,99.41,118.18,Cash,2023-03-08,0,Meera Nair,41,Female,Delhi,2020-11-13,311,11,3.24,4921,2.43,30.9,Residential
T00531,R0267,Zone_2,5.59,46.5,122.05,UPI,2024-04-24,1,Arjun Iyer,37,Other,Jaipur,2021-01-01,131,11,4.5,6371,0.91,58.4,Residential
T00532,R0263,Zone_1,13.4,77.64,221.62,Wallet,2023-06-03,1,Ishaan Das,31,Other,Chennai,2020-12-30,297,21,3.84,4921,2.43,30.9,Residential
T00533,R0172,Zone_7,5.89,32.82,57.12,UPI,2023-02-01,1,Reyansh Reddy,31,Other,Pune,2019-12-24,168,14,3.72,11070,0.64,45.2,Industrial
T00534,R0284,Zone_8,2.17,13.05,51.16,UPI,2024-06-07,1,Vivaan Das,28,Female,Surat,2019-07-31,135,19,4.95,4516,1.93,31.0,Business
T00535,R0268,Zone_5,12.28,103.14,253.82,Wallet,2023-11-20,1,Ishaan Kumar,34,Male,Chennai,2022-10-16,10,0,4.6,2590,1.31,43.9,Business
T00536,R0008,Zone_6,7.91,52.23,180.63,Cash,2023-10-12,0,Ishaan Ghosh,28,Female,Jaipur,2022-10-01,215,23,4.02,14627,0.54,37.6,Mixed
T00537,R0183,Zone_6,15.24,150.36,141.28,Credit Card,2023-03-22,0,Arjun Patel,43,Other,Jaipur,2022-08-27,406,66,3.79,14627,0.54,37.6,Mixed
T00538,R0234,Zone_1,12.46,108.52,224.08,Credit Card,2023-09-02,0,Saanvi Nair,32,Other,Pune,2022-12-01,183,31,3.98,4921,2.43,30.9,Residential
T00539,R0172,Zone_6,6.85,45.73,120.22,UPI,2024-03-03,0,Reyansh Reddy,31,Other,Pune,2019-12-24,168,14,3.72,14627,0.54,37.6,Mixed
T00540,R0023,Zone_5,5.75,56.32,70.29,Credit Card,2023-03-02,1,Meera Iyer,24,Other,Jaipur,2019-10-09,176,32,3.21,2590,1.31,43.9,Business
T00541,R0288,Zone_8,8.12,67.78,81.83,Cash,2023-10-21,1,Diya Ghosh,42,Male,Ahmedabad,2021-08-30,43,5,4.56,4516,1.93,31.0,Business
T00542,R0238,Zone_2,8.95,74.18,155.25,Wallet,2023-03-20,1,Reyansh Patel,30,Other,Pune,2019-04-22,362,56,4.91,6371,0.91,58.4,Residential
T00543,R0005,Zone_10,3.59,22.45,59.14,Credit Card,2023-02-19,0,Diya Reddy,27,Male,Ahmedabad,2021-05-31,294,30,3.53,2440,1.54,35.4,Industrial
T00544,R0133,Zone_3,12.21,79.45,159.69,Cash,2023-01-03,1,Diya Kumar,25,Female,Delhi,2019-07-13,155,11,4.4,12971,2.11,38.0,Business
T00545,R0051,Zone_5,6.01,59.55,60.9,Credit Card,2024-08-07,1,Aarav Nair,21,Male,Kolkata,2020-04-05,213,14,4.02,2590,1.31,43.9,Business
T00546,R0178,Zone_4,5.88,40.04,144.17,Wallet,2024-06-27,1,Saanvi Ghosh,27,Male,Delhi,2021-05-15,56,7,3.13,4038,2.46,48.2,Business
T00547,R0016,Zone_9,5.3,29.91,48.14,UPI,2023-11-08,1,Aarav Iyer,28,Female,Delhi,2022-01-24,356,51,3.06,11037,1.83,56.1,Mixed
T00548,R0211,Zone_4,9.16,68.5,91.28,UPI,2023-08-10,0,Arjun Reddy,36,Female,Mumbai,2021-04-04,435,17,3.63,4038,2.46,48.2,Business
T00549,R0046,Zone_2,4.54,30.89,73.67,Wallet,2024-05-28,1,Vivaan Singh,31,Female,Kolkata,2019-08-16,31,4,3.87,6371,0.91,58.4,Residential
T00550,R0129,Zone_6,8.67,86.27,133.85,UPI,2023-01-05,0,Vivaan Singh,35,Male,Hyderabad,2022-10-08,158,10,3.9,14627,0.54,37.6,Mixed
T00551,R0121,Zone_9,21.83,190.53,354.27,Wallet,2023-11-27,0,Diya Iyer,29,Male,Pune,2023-07-13,378,10,4.17,11037,1.83,56.1,Mixed
T00552,R0005,Zone_2,7.73,64.25,102.14,Credit Card,2024-07-27,1,Diya Reddy,27,Male,Ahmedabad,2021-05-31,294,30,3.53,6371,0.91,58.4,Residential
T00553,R0292,Zone_7,5.83,32.17,85.19,Wallet,2024-06-23,1,Diya Patel,37,Female,Jaipur,2020-06-28,141,19,4.39,11070,0.64,45.2,Industrial
T00554,R0143,Zone_6,0.34,2.43,6.66,Wallet,2023-10-27,1,Meera Kumar,42,Other,Kolkata,2023-03-28,74,13,4.56,14627,0.54,37.6,Mixed
T00555,R0293,Zone_3,8.25,70.59,124.79,Cash,2023-01-06,1,Arjun Kumar,39,Female,Delhi,2019-10-01,248,44,3.2,12971,2.11,38.0,Business
T00556,R0175,Zone_10,2.45,19.43,53.43,Cash,2024-06-09,1,Diya Patel,35,Male,Chennai,2022-08-18,98,8,3.48,2440,1.54,35.4,Industrial
T00557,R0196,Zone_10,6.12,31.21,115.58,Cash,2023-01-05,1,Vivaan Das,18,Male,Hyderabad,2019-06-24,51,9,4.93,2440,1.54,35.4,Industrial
T00558,R0145,Zone_5,8.76,84.65,94.17,Wallet,2023-06-29,0,Saanvi Nair,36,Female,Jaipur,2022-12-09,222,43,4.3,2590,1.31,43.9,Business
T00559,R0010,Zone_1,0.65,4.04,5.95,Credit Card,2023-07-19,1,Vivaan Gupta,25,Female,Surat,2023-05-14,173,1,3.38,4921,2.43,30.9,Residential
T00560,R0106,Zone_1,8.79,44.59,85.75,UPI,2023-03-08,0,Aarav Patel,32,Other,Bengaluru,2021-11-25,6,1,4.03,4921,2.43,30.9,Residential
T00561,R0278,Zone_9,9.52,81.51,158.21,UPI,2023-09-18,1,Aarav Reddy,20,Female,Mumbai,2021-09-02,382,58,4.27,11037,1.83,56.1,Mixed
T00562,R0242,Zone_10,1.51,13.28,20.21,UPI,2024-06-13,0,Kavya Iyer,34,Male,Ahmedabad,2022-06-05,445,8,4.54,2440,1.54,35.4,Industrial
T00563,R0211,Zone_5,6.04,52.85,79.74,Credit Card,2023-05-08,0,Arjun Reddy,36,Female,Mumbai,2021-04-04,435,17,3.63,2590,1.31,43.9,Business
T00564,R0003,Zone_5,1.15,8.5,17.88,Wallet,2023-01-26,1,Kavya Reddy,34,Male,Pune,2023-05-04,45,9,3.76,2590,1.31,43.9,Business
T00565,R0139,Zone_9,15.88,90.14,211.49,UPI,2023-09-04,1,Diya Gupta,44,Other,Kolkata,2023-10-09,155,7,4.39,11037,1.83,56.1,Mixed
T00566,R0028,Zone_3,9.65,86.84,188.55,Wallet,2023-09-29,1,Reyansh Sharma,20,Female,Surat,2023-11-11,249,21,3.79,12971,2.11,38.0,Business
T00567,R0177,Zone_10,7.1,55.19,140.55,Wallet,2024-02-06,1,Ishaan Reddy,34,Other,Bengaluru,2023-02-15,489,63,4.48,2440,1.54,35.4,Industrial
T00568,R0067,Zone_7,7.18,67.45,151.87,UPI,2023-04-01,1,Saanvi Iyer,32,Male,Pune,2022-07-24,348,9,3.38,11070,0.64,45.2,Industrial
T00569,R0077,Zone_3,13.66,71.95,231.84,Cash,2023-09-16,0,Reyansh Das,28,Male,Mumbai,2019-09-07,406,72,3.79,12971,2.11,38.0,Business
T00570,R0167,Zone_9,7.53,47.67,122.72,Cash,2023-08-08,0,Kavya Nair,44,Male,Hyderabad,2022-08-25,117,5,4.75,11037,1.83,56.1,Mixed
T00571,R0167,Zone_10,9.65,81.83,191.62,Credit Card,2024-07-24,1,Kavya Nair,44,Male,Hyderabad,2022-08-25,117,5,4.75,2440,1.54,35.4,Industrial
T00572,R0086,Zone_3,15.59,152.65,354.96,Wallet,2024-04-19,0,Vivaan Patel,23,Male,Hyderabad,2019-11-08,337,17,4.56,12971,2.11,38.0,Business
T00573,R0170,Zone_1,6.27,60.88,114.19,UPI,2024-02-15,0,Saanvi Kumar,29,Other,Bengaluru,2020-05-20,28,3,3.68,4921,2.43,30.9,Residential
T00574,R0236,Zone_6,2.54,22.73,20.65,Wallet,2023-11-05,0,Arjun Gupta,28,Male,Ahmedabad,2020-08-10,61,1,3.36,14627,0.54,37.6,Mixed
T00575,R0141,Zone_8,3.88,25.14,92.56,UPI,2024-05-26,0,Arjun Das,25,Other,Jaipur,2019-07-08,53,0,4.29,4516,1.93,31.0,Business
T00576,R0049,Zone_10,15.14,80.45,148.79,Wallet,2023-08-31,0,Meera Iyer,39,Male,Mumbai,2020-05-19,375,55,4.4,2440,1.54,35.4,Industrial
T00577,R0055,Zone_6,8.46,68.07,69.76,Credit Card,2023-01-09,0,Kavya Singh,32,Male,Delhi,2021-11-07,425,12,4.19,14627,0.54,37.6,Mixed
T00578,R0007,Zone_10,5.49,44.83,83.51,Credit Card,2024-02-09,0,Ishaan Ghosh,18,Female,Mumbai,2021-03-26,458,82,4.03,2440,1.54,35.4,Industrial
T00579,R0249,Zone_1,12.87,127.32,191.9,Wallet,2024-05-23,1,Diya Nair,20,Male,Mumbai,2023-03-24,396,48,4.49,4921,2.43,30.9,Residential
T00580,R0284,Zone_3,12.99,102.01,116.95,UPI,2024-06-21,1,Vivaan Das,28,Female,Surat,2019-07-31,135,19,4.95,12971,2.11,38.0,Business
T00581,R0193,Zone_5,5.62,32.23,112.89,Wallet,2023-12-21,0,Kavya Singh,33,Female,Chennai,2022-01-03,389,68,4.41,2590,1.31,43.9,Business
T00582,R0177,Zone_5,3.14,17.29,38.14,Credit Card,2024-08-10,0,Ishaan Reddy,34,Other,Bengaluru,2023-02-15,489,63,4.48,2590,1.31,43.9,Business
T00583,R0147,Zone_5,0.15,1.49,2.71,Wallet,2023-02-10,0,Saanvi Nair,35,Other,Mumbai,2022-08-29,239,21,3.91,2590,1.31,43.9,Business
T00584,R0104,Zone_5,0.97,6.57,11.09,Cash,2024-03-04,0,Diya Gupta,52,Male,Kolkata,2021-05-27,328,1,3.7,2590,1.31,43.9,Business
T00585,R0088,Zone_9,6.68,60.36,76.64,Wallet,2023-08-03,1,Diya Iyer,22,Other,Jaipur,2019-07-07,438,0,4.78,11037,1.83,56.1,Mixed
T00586,R0040,Zone_3,3.5300000000000002,33.61,32.14,UPI,2024-06-26,1,Aarav Gupta,34,Other,Surat,2023-05-05,485,36,4.41,12971,2.11,38.0,Business
T00587,R0176,Zone_9,17.29,129.09,379.63,Wallet,2024-02-04,0,Kavya Gupta,43,Male,Mumbai,2019-05-24,260,13,3.95,11037,1.83,56.1,Mixed
T00588,R0103,Zone_7,8.29,74.64,139.36,Cash,2023-06-22,0,Ishaan Gupta,37,Other,Surat,2022-11-24,175,14,3.07,11070,0.64,45.2,Industrial
T00589,R0149,Zone_6,1.71,13.77,28.65,Credit Card,2023-10-05,0,Diya Reddy,30,Male,Jaipur,2019-09-14,89,8,4.57,14627,0.54,37.6,Mixed
T00590,R0067,Zone_6,15.09,133.2,145.23,Credit Card,2024-06-17,1,Saanvi Iyer,32,Male,Pune,2022-07-24,348,9,3.38,14627,0.54,37.6,Mixed
T00591,R0028,Zone_4,8.81,61.37,116.5,Cash,2023-08-24,0,Reyansh Sharma,20,Female,Surat,2023-11-11,249,21,3.79,4038,2.46,48.2,Business
T00592,R0098,Zone_5,11.52,78.71,114.56,Credit Card,2023-02-05,0,Diya Singh,21,Other,Bengaluru,2023-04-29,286,56,3.5,2590,1.31,43.9,Business
T00593,R0154,Zone_4,11.41,58.38,228.63,Wallet,2023-08-24,0,Kavya Patel,18,Other,Kolkata,2019-03-25,466,79,4.68,4038,2.46,48.2,Business
T00594,R0187,Zone_9,9.48,82.32,229.76,Cash,2024-07-23,1,Saanvi Reddy,27,Other,Surat,2022-08-05,357,38,4.71,11037,1.83,56.1,Mixed
T00595,R0175,Zone_2,10.62,80.66,135.0,Cash,2024-01-16,1,Diya Patel,35,Male,Chennai,2022-08-18,98,8,3.48,6371,0.91,58.4,Residential
T00596,R0290,Zone_10,9.19,58.17,176.65,UPI,2023-09-09,0,Saanvi Kumar,34,Other,Chennai,2020-05-06,169,4,4.28,2440,1.54,35.4,Industrial
T00597,R0019,Zone_5,2.47,20.08,56.95,Cash,2023-07-11,0,Kavya Patel,40,Other,Mumbai,2023-04-02,266,24,4.08,2590,1.31,43.9,Business
T00598,R0077,Zone_8,9.83,57.3,109.08,Credit Card,2023-10-08,0,Reyansh Das,28,Male,Mumbai,2019-09-07,406,72,3.79,4516,1.93,31.0,Business
T00599,R0077,Zone_8,13.12,118.75,124.69,UPI,2023-08-18,1,Reyansh Das,28,Male,Mumbai,2019-09-07,406,72,3.79,4516,1.93,31.0,Business
T00600,R0058,Zone_9,6.95,59.97,83.74,Wallet,2023-09-10,1,Vivaan Reddy,46,Male,Kolkata,2021-05-31,480,25,4.32,11037,1.83,56.1,Mixed
T00601,R0070,Zone_3,10.76,96.0,254.15,Wallet,2024-05-04,1,Meera Reddy,33,Male,Bengaluru,2023-01-03,310,6,3.54,12971,2.11,38.0,Business
T00602,R0268,Zone_10,10.1,100.47,211.34,UPI,2023-07-25,1,Ishaan Kumar,34,Male,Chennai,2022-10-16,10,0,4.6,2440,1.54,35.4,Industrial
T00603,R0021,Zone_10,17.08,144.62,390.78,Wallet,2023-04-09,0,Diya Ghosh,37,Female,Pune,2019-05-08,380,17,3.91,2440,1.54,35.4,Industrial
